coordinate	section	type //
7.55E-01	1.00E+00	0
7.60E-01	1.00E+00	0
7.65E-01	1.00E+00	0
7.70E-01	1.00E+00	0
7.75E-01	1.00E+00	0
7.80E-01	1.00E+00	0
7.85E-01	1.00E+00	0
7.90E-01	1.00E+00	0
7.95E-01	1.00E+00	0
8.00E-01	1.00E+00	0
8.05E-01	1.00E+00	0
8.10E-01	1.00E+00	0
8.15E-01	1.00E+00	0
8.20E-01	1.00E+00	0
8.25E-01	1.00E+00	0
8.30E-01	1.00E+00	0
8.35E-01	1.00E+00	0
8.40E-01	1.00E+00	0
8.45E-01	1.00E+00	0
8.50E-01	1.00E+00	0
8.55E-01	1.00E+00	0
8.60E-01	1.00E+00	0
8.65E-01	1.00E+00	0
8.70E-01	1.00E+00	0
8.75E-01	1.00E+00	0
8.80E-01	1.00E+00	0
8.85E-01	1.00E+00	0
8.90E-01	1.00E+00	0
8.95E-01	1.00E+00	0
9.00E-01	1.00E+00	0
9.05E-01	1.00E+00	0
9.10E-01	1.00E+00	0
9.15E-01	1.00E+00	0
9.20E-01	1.00E+00	0
9.25E-01	1.00E+00	0
9.30E-01	1.00E+00	0
9.35E-01	1.00E+00	0
9.40E-01	1.00E+00	0
9.45E-01	1.00E+00	0
9.50E-01	1.00E+00	0
9.55E-01	1.00E+00	0
9.60E-01	1.00E+00	0
9.65E-01	1.00E+00	0
9.70E-01	1.00E+00	0
9.75E-01	1.00E+00	0
9.80E-01	1.00E+00	0
9.85E-01	1.00E+00	0
9.90E-01	1.00E+00	0
9.95E-01	1.00E+00	0
1.00E+00	1.00E+00	0
1.00E+00	1.00E+00	0.00E+00
