coordinate	Rho	T	section	type	//
-16875000.0	5.726934955351766e-13	1050687.401772463	1.0	0.0
-16750000.0	5.723488365015357e-13	1051066.6295251956	1.0	0.0
-16625000.0	5.720127820777342e-13	1051437.555732828	1.0	0.0
-16500000.0	5.716851553515789e-13	1051799.997250707	1.0	0.0
-16375000.0	5.713657797012075e-13	1052154.059867101	1.0	0.0
-16250000.0	5.710544937605285e-13	1052500.1935145361	1.0	0.0
-16125000.0	5.707511937512798e-13	1052838.7121778582	1.0	0.0
-16000000.0	5.704557979916432e-13	1053169.736044223	1.0	0.0
-15875000.0	5.701681103323162e-13	1053493.0079303787	1.0	0.0
-15750000.0	5.698879331575186e-13	1053808.4810440643	1.0	0.0
-15625000.0	5.696151699222531e-13	1054117.0034265372	1.0	0.0
-15500000.0	5.693497004609196e-13	1054418.8926574423	1.0	0.0
-15375000.0	5.690913484987025e-13	1054713.5363810197	1.0	0.0
-15250000.0	5.688399705244135e-13	1055000.938354073	1.0	0.0
-15125000.0	5.685954566146175e-13	1055281.6511371413	1.0	0.0
-15000000.0	5.683577138802966e-13	1055555.8528043642	1.0	0.0
-14875000.0	5.681266330996947e-13	1055823.537155192	1.0	0.0
-14750000.0	5.679019467987605e-13	1056084.9067277233	1.0	0.0
-14625000.0	5.676833342099928e-13	1056340.2390428705	1.0	0.0
-14500000.0	5.674704869902309e-13	1056589.8012008374	1.0	0.0
-14375000.0	5.672631090693768e-13	1056833.8499293374	1.0	0.0
-14250000.0	5.670609163335907e-13	1057072.6318494729	1.0	0.0
-14125000.0	5.668636363147592e-13	1057306.383736355	1.0	0.0
-14000000.0	5.666710078860995e-13	1057535.3327745735	1.0	0.0
-13875000.0	5.664827809637763e-13	1057759.6968086252	1.0	0.0
-13750000.0	5.662987162144007e-13	1057979.6845884016	1.0	0.0
-13625000.0	5.661185847682936e-13	1058195.4960098488	1.0	0.0
-13500000.0	5.659421679383915e-13	1058407.3223508857	1.0	0.0
-13375000.0	5.657692569446802e-13	1058615.3465026887	1.0	0.0
-13250000.0	5.655996526440444e-13	1058819.743196433	1.0	0.0
-13125000.0	5.654331652654178e-13	1059020.679225582	1.0	0.0
-13000000.0	5.652696141501347e-13	1059218.3136638186	1.0	0.0
-12875000.0	5.651088274973702e-13	1059412.798078704	1.0	0.0
-12750000.0	5.649506421145717e-13	1059604.2767411475	1.0	0.0
-12625000.0	5.647949031727815e-13	1059792.8868307765	1.0	0.0
-12500000.0	5.6464146396675e-13	1059978.758637282	1.0	0.0
-12375000.0	5.644901856797506e-13	1060162.0157578243	1.0	0.0
-12250000.0	5.643409371529985e-13	1060342.7752905712	1.0	0.0
-12125000.0	5.641935946595859e-13	1060521.14802445	1.0	0.0
-12000000.0	5.640480416828463e-13	1060697.2386251832	1.0	0.0
-11875000.0	5.639041686990606e-13	1060871.145817676	1.0	0.0
-11750000.0	5.637618729644231e-13	1061042.9625648393	1.0	0.0
-11625000.0	5.636210583061822e-13	1061212.776242897	1.0	0.0
-11500000.0	5.634816349178835e-13	1061380.6688132638	1.0	0.0
-11375000.0	5.633435191586287e-13	1061546.7169910434	1.0	0.0
-11250000.0	5.632066333562832e-13	1061710.9924102207	1.0	0.0
-11125000.0	5.630709056145504e-13	1061873.5617856015	1.0	0.0
-11000000.0	5.629362696238497e-13	1062034.4870715702	1.0	0.0
-10875000.0	5.628026644759187e-13	1062193.825617713	1.0	0.0
-10750000.0	5.626700344820779e-13	1062351.630321374	1.0	0.0
-10625000.0	5.625383289950883e-13	1062507.9497771931	1.0	0.0
-10500000.0	5.624075022345358e-13	1062662.8284236863	1.0	0.0
-10375000.0	5.622775131156825e-13	1062816.3066869164	1.0	0.0
-10250000.0	5.621483250817163e-13	1062968.421121309	1.0	0.0
-10125000.0	5.620199059393464e-13	1063119.2045476674	1.0	0.0
-10000000.0	5.618922276976774e-13	1063268.6861884268	1.0	0.0
-9875000.0	5.617652664103115e-13	1063416.8918002094	1.0	0.0
-9750000.0	5.61639002020616e-13	1063563.843803714	1.0	0.0
-9625000.0	5.615134182101078e-13	1063709.5614109985	1.0	0.0
-9500000.0	5.613885022498952e-13	1063854.0607501888	1.0	0.0
-9375000.0	5.612642448551285e-13	1063997.354987668	1.0	0.0
-9250000.0	5.611406400424076e-13	1064139.4544477814	1.0	0.0
-9125000.0	5.610176849900964e-13	1064280.3667301037	1.0	0.0
-9000000.0	5.608953799014952e-13	1064420.0968243051	1.0	0.0
-8875000.0	5.607737278708248e-13	1064558.647222661	1.0	0.0
-8750000.0	5.606527347519751e-13	1064696.018030237	1.0	0.0
-8625000.0	5.605324090299743e-13	1064832.2070727975	1.0	0.0
-8500000.0	5.604127616951333e-13	1064967.2100024612	1.0	0.0
-8375000.0	5.602938061198227e-13	1065101.020401152	1.0	0.0
-8250000.0	5.601755579378416e-13	1065233.629881873	1.0	0.0
-8125000.0	5.600580349263384e-13	1065365.0281878405	1.0	0.0
-8000000.0	5.599412568902388e-13	1065495.20328951	1.0	0.0
-7875000.0	5.59825245549148e-13	1065624.1414795283	1.0	0.0
-7750000.0	5.597100244266874e-13	1065751.827465642	1.0	0.0
-7625000.0	5.595956187422268e-13	1065878.244461595	1.0	0.0
-7500000.0	5.594820553049787e-13	1066003.3742760422	1.0	0.0
-7375000.0	5.593693624104189e-13	1066127.1973995124	1.0	0.0
-7250000.0	5.592575697389993e-13	1066249.693089447	1.0	0.0
-7125000.0	5.591467082571182e-13	1066370.8394533414	1.0	0.0
-7000000.0	5.590368101203196e-13	1066490.6135300207	1.0	0.0
-6875000.0	5.589279085786834e-13	1066608.9913690682	1.0	0.0
-6750000.0	5.588200378843834e-13	1066725.948108443	1.0	0.0
-6625000.0	5.58713233201377e-13	1066841.4580503025	1.0	0.0
-6500000.0	5.586075305172001e-13	1066955.4947350593	1.0	0.0
-6375000.0	5.585029665568386e-13	1067068.031013696	1.0	0.0
-6250000.0	5.583995786986487e-13	1067179.0391183586	1.0	0.0
-6125000.0	5.582974048922979e-13	1067288.4907312538	1.0	0.0
-6000000.0	5.58196483578703e-13	1067396.357051871	1.0	0.0
-5875000.0	5.580968536119374e-13	1067502.6088625519	1.0	0.0
-5750000.0	5.579985541830823e-13	1067607.2165924234	1.0	0.0
-5625000.0	5.579016247460017e-13	1067710.1503797225	1.0	0.0
-5500000.0	5.578061049450129e-13	1067811.3801325248	1.0	0.0
-5375000.0	5.577120345444316e-13	1067910.8755879004	1.0	0.0
-5250000.0	5.57619453359972e-13	1068008.6063695147	1.0	0.0
-5125000.0	5.57528401191975e-13	1068104.5420436917	1.0	0.0
-5000000.0	5.574389177604489e-13	1068198.6521739562	1.0	0.0
-4875000.0	5.573510426418998e-13	1068290.906374076	1.0	0.0
-4750000.0	5.572648152079314e-13	1068381.2743596153	1.0	0.0
-4625000.0	5.571802745655961e-13	1068469.725998019	1.0	0.0
-4500000.0	5.57097459499481e-13	1068556.2313572427	1.0	0.0
-4375000.0	5.570164084155057e-13	1068640.7607529396	1.0	0.0
-4250000.0	5.569371592864205e-13	1068723.284794229	1.0	0.0
-4125000.0	5.56859749598983e-13	1068803.7744280458	1.0	0.0
-4000000.0	5.567842163028018e-13	1068882.200982098	1.0	0.0
-3875000.0	5.56710595760826e-13	1068958.5362064366	1.0	0.0
-3750000.0	5.566389237014717e-13	1069032.7523136563	1.0	0.0
-3625000.0	5.565692351723653e-13	1069104.822017736	1.0	0.0
-3500000.0	5.565015644956929e-13	1069174.718571529	1.0	0.0
-3375000.0	5.5643594522514e-13	1069242.4158029214	1.0	0.0
-3250000.0	5.563724101044123e-13	1069307.8881496633	1.0	0.0
-3125000.0	5.563109910273185e-13	1069371.1106928834	1.0	0.0
-3000000.0	5.562517189994095e-13	1069432.0591893017	1.0	0.0
-2875000.0	5.561946241011588e-13	1069490.7101021484	1.0	0.0
-2750000.0	5.561397354526744e-13	1069547.0406307918	1.0	0.0
-2625000.0	5.560870811799298e-13	1069601.028739097	1.0	0.0
-2500000.0	5.560366883825068e-13	1069652.6531825108	1.0	0.0
-2375000.0	5.559885831028378e-13	1069701.8935338887	1.0	0.0
-2250000.0	5.559427902969393e-13	1069748.7302080707	1.0	0.0
-2125000.0	5.558993338066287e-13	1069793.1444852108	1.0	0.0
-2000000.0	5.558582363332139e-13	1069835.1185328697	1.0	0.0
-1875000.0	5.558195194126511e-13	1069874.6354268752	1.0	0.0
-1750000.0	5.557832033921603e-13	1069911.6791709594	1.0	0.0
-1625000.0	5.55749307408291e-13	1069946.2347151742	1.0	0.0
-1500000.0	5.55717849366438e-13	1069978.2879730954	1.0	0.0
-1375000.0	5.55688845921791e-13	1070007.8258378175	1.0	0.0
-1250000.0	5.556623124617217e-13	1070034.8361967448	1.0	0.0
-1125000.0	5.556382630895967e-13	1070059.3079451823	1.0	0.0
-1000000.0	5.556167106100162e-13	1070081.2309987326	1.0	0.0
-875000.0	5.5559766651547e-13	1070100.5963045012	1.0	0.0
-750000.0	5.555811409744086e-13	1070117.39585111	1.0	0.0
-625000.0	5.555671428207283e-13	1070131.622677533	1.0	0.0
-500000.0	5.555556795446615e-13	1070143.2708807392	1.0	0.0
-375000.0	5.555467572850754e-13	1070152.3356221644	1.0	0.0
-250000.0	5.555403808231732e-13	1070158.8131329992	1.0	0.0
-125000.0	5.555365535775963e-13	1070162.7007182993	1.0	0.0
0.0	5.55535277600928e-13	1070163.9967599246	1.0	0.0
125000.0	5.555365535775963e-13	1070162.7007182993	1.0	0.0
250000.0	5.555403808231732e-13	1070158.8131329992	1.0	0.0
375000.0	5.555467572850754e-13	1070152.3356221644	1.0	0.0
500000.0	5.555556795446615e-13	1070143.2708807392	1.0	0.0
625000.0	5.555671428207283e-13	1070131.622677533	1.0	0.0
750000.0	5.555811409744086e-13	1070117.39585111	1.0	0.0
875000.0	5.5559766651547e-13	1070100.5963045012	1.0	0.0
1000000.0	5.556167106100162e-13	1070081.2309987326	1.0	0.0
1125000.0	5.556382630895967e-13	1070059.3079451823	1.0	0.0
1250000.0	5.556623124617217e-13	1070034.8361967448	1.0	0.0
1375000.0	5.55688845921791e-13	1070007.8258378175	1.0	0.0
1500000.0	5.55717849366438e-13	1069978.2879730954	1.0	0.0
1625000.0	5.55749307408291e-13	1069946.2347151742	1.0	0.0
1750000.0	5.557832033921603e-13	1069911.6791709594	1.0	0.0
1875000.0	5.558195194126511e-13	1069874.6354268752	1.0	0.0
2000000.0	5.558582363332139e-13	1069835.1185328697	1.0	0.0
2125000.0	5.558993338066287e-13	1069793.1444852108	1.0	0.0
2250000.0	5.559427902969393e-13	1069748.7302080707	1.0	0.0
2375000.0	5.559885831028378e-13	1069701.8935338887	1.0	0.0
2500000.0	5.560366883825068e-13	1069652.6531825108	1.0	0.0
2625000.0	5.560870811799298e-13	1069601.028739097	1.0	0.0
2750000.0	5.561397354526744e-13	1069547.0406307918	1.0	0.0
2875000.0	5.561946241011588e-13	1069490.7101021484	1.0	0.0
3000000.0	5.562517189994095e-13	1069432.0591893017	1.0	0.0
3125000.0	5.563109910273185e-13	1069371.1106928834	1.0	0.0
3250000.0	5.563724101044123e-13	1069307.8881496633	1.0	0.0
3375000.0	5.5643594522514e-13	1069242.4158029214	1.0	0.0
3500000.0	5.565015644956929e-13	1069174.718571529	1.0	0.0
3625000.0	5.565692351723653e-13	1069104.822017736	1.0	0.0
3750000.0	5.566389237014717e-13	1069032.7523136563	1.0	0.0
3875000.0	5.56710595760826e-13	1068958.5362064366	1.0	0.0
4000000.0	5.567842163028018e-13	1068882.200982098	1.0	0.0
4125000.0	5.56859749598983e-13	1068803.7744280458	1.0	0.0
4250000.0	5.569371592864205e-13	1068723.284794229	1.0	0.0
4375000.0	5.570164084155057e-13	1068640.7607529396	1.0	0.0
4500000.0	5.57097459499481e-13	1068556.2313572427	1.0	0.0
4625000.0	5.571802745655961e-13	1068469.725998019	1.0	0.0
4750000.0	5.572648152079314e-13	1068381.2743596153	1.0	0.0
4875000.0	5.573510426418998e-13	1068290.906374076	1.0	0.0
5000000.0	5.574389177604489e-13	1068198.6521739562	1.0	0.0
5125000.0	5.57528401191975e-13	1068104.5420436917	1.0	0.0
5250000.0	5.57619453359972e-13	1068008.6063695147	1.0	0.0
5375000.0	5.577120345444316e-13	1067910.8755879004	1.0	0.0
5500000.0	5.578061049450129e-13	1067811.3801325248	1.0	0.0
5625000.0	5.579016247460017e-13	1067710.1503797225	1.0	0.0
5750000.0	5.579985541830823e-13	1067607.2165924234	1.0	0.0
5875000.0	5.580968536119374e-13	1067502.6088625519	1.0	0.0
6000000.0	5.58196483578703e-13	1067396.357051871	1.0	0.0
6125000.0	5.582974048922979e-13	1067288.4907312538	1.0	0.0
6250000.0	5.583995786986487e-13	1067179.0391183586	1.0	0.0
6375000.0	5.585029665568386e-13	1067068.031013696	1.0	0.0
6500000.0	5.586075305172001e-13	1066955.4947350593	1.0	0.0
6625000.0	5.58713233201377e-13	1066841.4580503025	1.0	0.0
6750000.0	5.588200378843834e-13	1066725.948108443	1.0	0.0
6875000.0	5.589279085786834e-13	1066608.9913690682	1.0	0.0
7000000.0	5.590368101203196e-13	1066490.6135300207	1.0	0.0
7125000.0	5.591467082571182e-13	1066370.8394533414	1.0	0.0
7250000.0	5.592575697389993e-13	1066249.693089447	1.0	0.0
7375000.0	5.593693624104189e-13	1066127.1973995124	1.0	0.0
7500000.0	5.594820553049787e-13	1066003.3742760422	1.0	0.0
7625000.0	5.595956187422268e-13	1065878.244461595	1.0	0.0
7750000.0	5.597100244266874e-13	1065751.827465642	1.0	0.0
7875000.0	5.59825245549148e-13	1065624.1414795283	1.0	0.0
8000000.0	5.599412568902388e-13	1065495.20328951	1.0	0.0
8125000.0	5.600580349263384e-13	1065365.0281878405	1.0	0.0
8250000.0	5.601755579378416e-13	1065233.629881873	1.0	0.0
8375000.0	5.602938061198227e-13	1065101.020401152	1.0	0.0
8500000.0	5.604127616951333e-13	1064967.2100024612	1.0	0.0
8625000.0	5.605324090299743e-13	1064832.2070727975	1.0	0.0
8750000.0	5.606527347519751e-13	1064696.018030237	1.0	0.0
8875000.0	5.607737278708248e-13	1064558.647222661	1.0	0.0
9000000.0	5.608953799014952e-13	1064420.0968243051	1.0	0.0
9125000.0	5.610176849900964e-13	1064280.3667301037	1.0	0.0
9250000.0	5.611406400424076e-13	1064139.4544477814	1.0	0.0
9375000.0	5.612642448551285e-13	1063997.354987668	1.0	0.0
9500000.0	5.613885022498952e-13	1063854.0607501888	1.0	0.0
9625000.0	5.615134182101078e-13	1063709.5614109985	1.0	0.0
9750000.0	5.61639002020616e-13	1063563.843803714	1.0	0.0
9875000.0	5.617652664103115e-13	1063416.8918002094	1.0	0.0
10000000.0	5.618922276976774e-13	1063268.6861884268	1.0	0.0
10125000.0	5.620199059393464e-13	1063119.2045476674	1.0	0.0
10250000.0	5.621483250817163e-13	1062968.421121309	1.0	0.0
10375000.0	5.622775131156825e-13	1062816.3066869164	1.0	0.0
10500000.0	5.624075022345358e-13	1062662.8284236863	1.0	0.0
