Rho	T	coordinate	section	type	//
1.006114E-12	6.914939E+05	3.950000E+06	1.000000E+00	0.000000E+00
9.983380E-13	6.963300E+05	4.000000E+06	1.000000E+00	0.000000E+00
9.903124E-13	7.012363E+05	4.050000E+06	1.000000E+00	0.000000E+00
9.822139E-13	7.061746E+05	4.100000E+06	1.000000E+00	0.000000E+00
9.740739E-13	7.111311E+05	4.150000E+06	1.000000E+00	0.000000E+00
9.659234E-13	7.160921E+05	4.200000E+06	1.000000E+00	0.000000E+00
9.577939E-13	7.210437E+05	4.250000E+06	1.000000E+00	0.000000E+00
9.497165E-13	7.259723E+05	4.300000E+06	1.000000E+00	0.000000E+00
9.417226E-13	7.308639E+05	4.350000E+06	1.000000E+00	0.000000E+00
9.338434E-13	7.357050E+05	4.400000E+06	1.000000E+00	0.000000E+00
9.261101E-13	7.404816E+05	4.450000E+06	1.000000E+00	0.000000E+00
9.185540E-13	7.451800E+05	4.500000E+06	1.000000E+00	0.000000E+00
9.110710E-13	7.498463E+05	4.550000E+06	1.000000E+00	0.000000E+00
9.035623E-13	7.545241E+05	4.600000E+06	1.000000E+00	0.000000E+00
8.960668E-13	7.591962E+05	4.650000E+06	1.000000E+00	0.000000E+00
8.886235E-13	7.638453E+05	4.700000E+06	1.000000E+00	0.000000E+00
8.812715E-13	7.684541E+05	4.750000E+06	1.000000E+00	0.000000E+00
8.740498E-13	7.730053E+05	4.800000E+06	1.000000E+00	0.000000E+00
8.669973E-13	7.774817E+05	4.850000E+06	1.000000E+00	0.000000E+00
8.601532E-13	7.818659E+05	4.900000E+06	1.000000E+00	0.000000E+00
8.535564E-13	7.861407E+05	4.950000E+06	1.000000E+00	0.000000E+00
8.472460E-13	7.902888E+05	5.000000E+06	1.000000E+00	0.000000E+00
8.412609E-13	7.942929E+05	5.050000E+06	1.000000E+00	0.000000E+00
8.356403E-13	7.981357E+05	5.100000E+06	1.000000E+00	0.000000E+00
8.304230E-13	8.018000E+05	5.150000E+06	1.000000E+00	0.000000E+00
8.256913E-13	8.052518E+05	5.200000E+06	1.000000E+00	0.000000E+00
8.214676E-13	8.084831E+05	5.250000E+06	1.000000E+00	0.000000E+00
8.177017E-13	8.115153E+05	5.300000E+06	1.000000E+00	0.000000E+00
8.143434E-13	8.143695E+05	5.350000E+06	1.000000E+00	0.000000E+00
8.113422E-13	8.170672E+05	5.400000E+06	1.000000E+00	0.000000E+00
8.086479E-13	8.196298E+05	5.450000E+06	1.000000E+00	0.000000E+00
8.062101E-13	8.220785E+05	5.500000E+06	1.000000E+00	0.000000E+00
8.039787E-13	8.244348E+05	5.550000E+06	1.000000E+00	0.000000E+00
8.019032E-13	8.267198E+05	5.600000E+06	1.000000E+00	0.000000E+00
7.999334E-13	8.289551E+05	5.650000E+06	1.000000E+00	0.000000E+00
7.980189E-13	8.311619E+05	5.700000E+06	1.000000E+00	0.000000E+00
7.961095E-13	8.333616E+05	5.750000E+06	1.000000E+00	0.000000E+00
7.941549E-13	8.355755E+05	5.800000E+06	1.000000E+00	0.000000E+00
7.921048E-13	8.378249E+05	5.850000E+06	1.000000E+00	0.000000E+00
7.899087E-13	8.401313E+05	5.900000E+06	1.000000E+00	0.000000E+00
7.875166E-13	8.425158E+05	5.950000E+06	1.000000E+00	0.000000E+00
7.848780E-13	8.450000E+05	6.000000E+06	1.000000E+00	0.000000E+00
7.820799E-13	8.475410E+05	6.050000E+06	1.000000E+00	0.000000E+00
7.792454E-13	8.500821E+05	6.100000E+06	1.000000E+00	0.000000E+00
7.763784E-13	8.526230E+05	6.150000E+06	1.000000E+00	0.000000E+00
7.734829E-13	8.551640E+05	6.200000E+06	1.000000E+00	0.000000E+00
7.705626E-13	8.577049E+05	6.250000E+06	1.000000E+00	0.000000E+00
7.676215E-13	8.602458E+05	6.300000E+06	1.000000E+00	0.000000E+00
7.646635E-13	8.627867E+05	6.350000E+06	1.000000E+00	0.000000E+00
7.616925E-13	8.653276E+05	6.400000E+06	1.000000E+00	0.000000E+00
7.587124E-13	8.678685E+05	6.450000E+06	1.000000E+00	0.000000E+00
7.557271E-13	8.704093E+05	6.500000E+06	1.000000E+00	0.000000E+00
7.527405E-13	8.729502E+05	6.550000E+06	1.000000E+00	0.000000E+00
7.497565E-13	8.754910E+05	6.600000E+06	1.000000E+00	0.000000E+00
7.467790E-13	8.780319E+05	6.650000E+06	1.000000E+00	0.000000E+00
7.438119E-13	8.805727E+05	6.700000E+06	1.000000E+00	0.000000E+00
7.408590E-13	8.831136E+05	6.750000E+06	1.000000E+00	0.000000E+00
7.379244E-13	8.856544E+05	6.800000E+06	1.000000E+00	0.000000E+00
7.350119E-13	8.881953E+05	6.850000E+06	1.000000E+00	0.000000E+00
7.321253E-13	8.907362E+05	6.900000E+06	1.000000E+00	0.000000E+00
7.292686E-13	8.932771E+05	6.950000E+06	1.000000E+00	0.000000E+00
7.264458E-13	8.958181E+05	7.000000E+06	1.000000E+00	0.000000E+00
7.236606E-13	8.983590E+05	7.050000E+06	1.000000E+00	0.000000E+00
7.209170E-13	9.009000E+05	7.100000E+06	1.000000E+00	0.000000E+00
7.181955E-13	9.034586E+05	7.150000E+06	1.000000E+00	0.000000E+00
7.154754E-13	9.060498E+05	7.200000E+06	1.000000E+00	0.000000E+00
7.127586E-13	9.086694E+05	7.250000E+06	1.000000E+00	0.000000E+00
7.100470E-13	9.113135E+05	7.300000E+06	1.000000E+00	0.000000E+00
7.073426E-13	9.139778E+05	7.350000E+06	1.000000E+00	0.000000E+00
7.046473E-13	9.166585E+05	7.400000E+06	1.000000E+00	0.000000E+00
7.019631E-13	9.193513E+05	7.450000E+06	1.000000E+00	0.000000E+00
6.992919E-13	9.220523E+05	7.500000E+06	1.000000E+00	0.000000E+00
6.966356E-13	9.247574E+05	7.550000E+06	1.000000E+00	0.000000E+00
6.939963E-13	9.274625E+05	7.600000E+06	1.000000E+00	0.000000E+00
6.913757E-13	9.301635E+05	7.650000E+06	1.000000E+00	0.000000E+00
6.887760E-13	9.328564E+05	7.700000E+06	1.000000E+00	0.000000E+00
6.861989E-13	9.355371E+05	7.750000E+06	1.000000E+00	0.000000E+00
6.836466E-13	9.382016E+05	7.800000E+06	1.000000E+00	0.000000E+00
